,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
1129,002758,华通医药,0.15,-67.39,,3.77,,2037.61,0.7,,08-27
1130,300192,科斯伍德,0.08,33.33,2.83,2.66,0.1,1827.04,34.38,,08-27
1131,300208,恒顺众昇,0.2,-72.07,1.76,12.21,-0.15,15284.2,-25.1,,08-27
1132,600086,东方金钰,0.14,-76.92,,9.11,,19521.74,-25.35,,08-27
1133,600516,方大炭素,0.01,-49.71,,0.26,,1498.92,-49.71,,08-27
1134,300256,星星科技,0.04,-12.55,5.14,0.89,0.29,2890.54,89.98,,08-27
1135,600533,栖霞建设,0.02,-69.04,,0.59,,2370.87,-69.05,,08-27
1136,600888,新疆众和,0.03,-26.45,,0.63,,2034.18,-26.33,,08-27
1137,300003,乐普医疗,0.22,-38.26,2.55,8.03,0.2,37745.44,31.04,,08-27
1138,000925,众合科技,-0.03,-196.94,,-0.92,,-1118.29,-199.32,,08-27
1139,600997,开滦股份,0.04,-128.57,,0.82,,5409.01,-130.83,,08-27
1140,600773,西藏城投,0.05,11.11,,1.44,,3615.22,10.47,,08-27
1141,600791,京能置业,0.08,33.33,,2.32,,3524.62,41.36,,08-27
1142,002439,启明星辰,0.01,-65.0,,0.29,,569.57,-67.7,,08-27
1143,000789,万年青,0.11,-31.29,,2.52,,6720.68,-31.29,,08-27
1144,603131,上海沪工,0.4,21.21,,8.59,,3013.18,20.59,,08-27
1145,000046,泛海控股,0.18,23.38,,5.53,,91053.25,37.75,,08-27
1146,600895,张江高科,0.19,5.56,,3.79,,29066.19,2.23,,08-27
1147,600168,武汉控股,0.25,-3.85,,3.96,,17471.43,-5.4,,08-27
1148,300295,三六五网,0.3,-49.15,5.08,6.03,0.22,5838.56,3.5,,08-27
1149,600186,莲花健康,-0.01,-98.88,,-6.3,,-558.24,-98.89,,08-27
1150,000166,申万宏源,0.14,-72.0,,4.19,,210411.26,-71.4,,08-27
1151,600580,卧龙电气,0.11,-36.12,,2.81,,14317.21,-27.58,,08-27
1152,600999,招商证券,0.39,-69.35,,4.64,,224182.5,-69.35,10派1.54,08-27
1153,600634,富控互动,0.06,-14.29,,1.26,,3167.9,-17.82,,08-27
1154,000971,高升控股,0.11,-257.14,,2.82,,4746.32,-377.47,,08-27
1155,600651,飞乐音响,0.06,-22.22,,1.69,,5562.37,-21.43,,08-27
1156,300377,赢时胜,0.08,32.67,8.35,1.39,-0.01,2053.66,212.9,,08-27
1157,600278,东方创业,0.14,-17.65,,2.53,,7403.03,-15.7,,08-27
1158,002332,仙琚制药,0.1,25.0,,2.74,,5891.06,38.96,,08-27
1159,000609,绵石投资,0.47,-3645.45,,10.12,,13879.37,-3630.47,,08-27
1160,600360,华微电子,0.04,34.62,,1.29,,2590.15,34.54,,08-27
1161,600760,中航沈飞,-0.12,-45.45,,-11.12,,-4146.55,-44.45,,08-27
1162,300155,安居宝,0.01,-75.0,2.06,0.27,-0.08,311.94,-79.81,,08-27
1163,000700,模塑科技,0.16,-74.57,,4.68,,11371.28,-46.66,,08-27
1164,300495,美尚生态,0.35,-72.75,5.18,6.74,-0.94,7053.2,9.04,,08-27
1165,300220,金运激光,0.04,4.68,2.25,2.01,0.02,563.33,4.66,,08-27
1166,000014,沙河股份,-0.05,-171.55,,-1.48,,-1044.9,-171.59,,08-27
1167,300252,金信诺,0.28,49.33,2.24,12.62,0.01,11185.35,46.03,,08-27
1168,000056,皇庭国际,0.09,202.01,,1.01,,5076.38,541.65,,08-27
1169,300300,汉鼎宇佑,0.06,-48.32,4.73,1.99,-0.37,2506.54,-44.9,,08-27
1170,600191,华资实业,0.03,-92.13,,0.55,,1238.93,-92.11,,08-27
1171,000401,冀东水泥,-0.69,-568.03,,-9.67,,-92769.4,-569.55,,08-27
1172,300010,立思辰,0.04,-297.97,5.93,1.16,-0.14,3023.66,-337.54,,08-27
1173,000546,金圆股份,0.13,596.86,,4.2,,7964.92,595.58,,08-27
1174,601208,东材科技,0.04,-42.86,,1.17,,2617.42,-42.62,,08-27
1175,000596,古井贡酒,0.86,13.16,,8.54,,43105.55,13.29,,08-27
1176,300419,浩丰科技,0.16,-72.41,7.75,2.18,-0.26,2833.82,19.62,,08-27
1177,300128,锦富技术,-0.07,488.98,4.55,-1.62,-0.22,-3584.77,473.81,,08-27
1178,002725,跃岭股份,0.18,-14.29,,3.19,,2851.96,-13.48,,08-27
1179,300517,海波重科,0.25,13.64,4.45,5.78,0.41,1917.74,13.21,,08-27
1180,600836,界龙实业,0.01,-54.55,,0.37,,322.42,-7.87,,08-27
1181,000800,一汽轿车,-0.51,-603.07,,-10.0,,-82606.35,-603.09,,08-27
1182,603117,万林股份,0.12,0.0,,3.48,,4723.84,13.91,,08-27
1183,002497,雅化集团,0.08,9.64,,3.56,,7969.22,9.63,,08-27
